Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
6/5/2019,Cumming,GA,Worker died in fall from roof.,1405826,Federal,Yes
6/5/2019,Mainland,PA,Worker fatally struck by pickup truck.,1406230,Federal,No
6/5/2019,Markham,IL,Worker electrocuted while installing light pole.,1405927,Federal,Yes
6/5/2019,Shattuck,OK,Worker died in fall from roof.,1423808,Federal,No
6/4/2019,Bloomington,IL,Worker fatally crushed between truck and pavement.,1405654,Federal,Yes
6/4/2019,Cambridge,VT,Worker fatally struck by falling tree.,1405828,State,Yes
6/4/2019,Myakka City,FL,Worker died of heat-related illness.,1407253,Federal,Yes
6/3/2019,Abbotsford,WI,Worker died from allergic reaction to drugs used to treat friction burn.,1406231,Federal,Yes
6/3/2019,Baltimore,MD,Worker drowned after falling into waste water tank.,1405408,State,Yes
6/3/2019,Idleyld Park,OR,Worker died from heat stroke.,1409005,State,No
6/3/2019,Northport,AL,Worker fatally struck by tree limb.,1405295,Federal,Yes
6/2/2019,Houston,TX,Worker fatally crushed between steel support and forklift.,1405014,Federal,Yes
6/2/2019,Mansfield,MA,Worker fatally struck by forklift.,1400244,Federal,No
6/1/2019,Conyers,GA,Worker electrocuted by junction box.,1405925,Federal,No
6/1/2019,Dallas,TX,Worker fatally struck by machinery that rolled over.,1405267,Federal,No
6/1/2019,Imperial,NE,Worker fatally crushed when tractor rolled over.,1405530,Federal,Yes
6/1/2019,Johnson City,TX,Worker fatally struck by load that fell from forklift.,1405935,Federal,Yes
6/1/2019,Porter Ranch,CA,Worker died in fall from scaffold.,1405429,State,No
6/1/2019,Winter Garden,FL,Worker died in fall from stairwell.,1405048,Federal,Yes
5/31/2019,Big Lake,TX,Worker fatally struck by pump jack.,1405428,Federal,Yes
5/31/2019,Fenton,MI,Worker died from injuries suffered after fall from boat.,1406104,State,No
5/31/2019,Niles,MI,Worker in aerial lift electrocuted after contacting transmission line.,1405043,State,No
5/31/2019,Pine Grove,LA,Worker fatally struck by uncoupled landing joint.,1404907,Federal,No
5/30/2019,El Paso,TX,Worker died when forklift rolled over.,1404565,Federal,Yes
5/30/2019,Latrobe,PA,Worker died after being struck by table saw board.,1405217,Federal,Yes
5/30/2019,Phoenix,AZ,Worker fatally struck by falling pallet.,1408187,State,No
5/29/2019,Astoria,OR,Worker died in fall from hopper platform.,1405474,State,No
5/29/2019,Ennis,MT,Worker died when ATV rolled over.,1404647,Federal,No
5/29/2019,Plano,TX,Worker fatally struck by vehicle.,1404317,Federal,Yes
5/29/2019,Seiad Valley,CA,Worker fatally struck by falling tree.,1404675,State,No
5/29/2019,Vivian,LA,Worker electrocuted by well pump.,1404993,Federal,No
5/28/2019,Ardmore,OK,Worker died in fall from roof.,1404192,Federal,Yes
5/28/2019,Dallas,TX,Worker fatally struck by vehicle.,1403991,Federal,No
5/28/2019,Esmond,IL,Worker electrocuted when power line contacted truck.,1404069,Federal,Yes
5/28/2019,Falls Church,VA,Worker trimming trees electrocuted after contacting power line.,1404019,State,Yes
5/28/2019,Medley,FL,Worker died in fall from storage shelves.,1404715,Federal,Yes
5/28/2019,North Little Rock,AR,Worker fatally struck by falling tree.,1407592,Federal,Yes
5/28/2019,Richmond,RI,Worker fatally struck by log.,1403869,Federal,Yes
5/28/2019,Wichita,KS,Worker fatally struck when tire burst under pressure.,1404598,Federal,Yes
5/27/2019,Claymont,DE,Worker fatally injured by mulch pile falling from elevated pallet.,1403661,Federal,Yes
5/25/2019,Saint Louis,MO,Worker fatally injured by chain saw.,1404709,Federal,Yes
5/24/2019,Dundee,MI,Worker died from hydrogen sulfide exposure.,1403966,State,Yes
5/24/2019,Moreno Valley,CA,Worker died in fall from roof.,1403360,State,No
5/24/2019,Troy,MI,Worker fatally struck by vehicle.,1404270,State,No
5/24/2019,Virgie,KY,Worker fatally crushed by tree.,1404101,State,Yes
5/23/2019,Cassopolis,MI,Worker electrocuted when steel truss contacted power line.,1403376,State,No
5/23/2019,Dublin,GA,Worker fatally struck by bulldozer.,1403671,Federal,Yes
5/23/2019,Farwell,TX,Worker fatally crushed by bull.,1403375,Federal,Yes
5/23/2019,Little Rock,AR,Worker died from heat stroke.,1403371,Federal,No
5/23/2019,Pinehurst,NC,Worker fatally struck by vehicle.,1404080,State,No
5/22/2019,Breaux Bridge,LA,Worker fatally struck by motor vehicle.,1403312,Federal,No
5/22/2019,Columbia,SC,Worker died in outdoor fire.,1403232,Federal,Yes
5/22/2019,Coolville,OH,Worker fatally struck by falling tree.,1403174,Federal,No
5/22/2019,Dallas,TX,Worker fatally struck by warehouse cart.,1403545,Federal,Yes
5/22/2019,Houston,TX,Worker died in fall from scissor lift.,1403650,Federal,Yes
5/22/2019,New Braunfels,TX,Worker died from heat stress.,1403283,Federal,Yes
5/22/2019,Slater,IA,Worker died in fall from communications tower.,1402846,State,Yes
5/21/2019,Algonquin,IL,Worker fatally crushed between excavator and concrete Jersey barrier.,1403007,Federal,Yes
5/21/2019,Fontana,CA,Worker fatally crushed in galvanizing line.,1403395,State,No
5/21/2019,Mansfield,TX,Worker fatally struck when tire exploded.,1402870,Federal,Yes
5/21/2019,Moran,WY,Worker drowned afted falling into river.,1403221,Federal,No
5/21/2019,Mount Morris,NY,Worker electrocuted when crane cable contacted power line.,1402851,Federal,No
5/20/2019,Thomasville,GA,Worker drowned in river.,1403583,Federal,Yes
5/18/2019,Killeen,TX,Worker died in fall from ladder.,1402085,Federal,No
5/18/2019,New York,NY,Worker died in fall from scaffold.,1401948,Federal,Yes
5/18/2019,Williston,ND,Worker fatally struck by falling rod.,1402701,Federal,Yes
5/17/2019,Brooklyn,NY,Worker fatally crushed between truck and loading dock.,1428296,Federal,Yes
5/17/2019,Greensboro,NC,Worker died in fall from roof.,1402764,State,Yes
5/17/2019,Hanover,MD,Worker fatally crushed between cabin and chasis of amusement park ride.,1402039,State,Yes
5/17/2019,Midland,TX,Worker electrocuted while servicing control panel.,1402555,Federal,Yes
5/17/2019,New Plymouth,ID,Worker drowned when skid steer entered pond.,1402372,Federal,No
5/17/2019,Pueblo,CO,Worker fatally crushed between two rail cars.,1402091,Federal,No
5/16/2019,Brookhaven,MS,Worker died in fall from radio tower.,1402361,Federal,Yes
5/16/2019,Woodland,MI,Worker fatally engulfed in corn silo.,1402265,State,No
5/15/2019,Elkton,OR,Worker fatally crushed by truck.,1409736,State,No
5/15/2019,Hazleton,PA,Worker fatally struck by container thst slid off truck.,1400865,Federal,Yes
5/15/2019,San Pedro,CA,Worker fatally struck by tire geing removed from rim.,1401005,State,No
5/15/2019,Tyler,TX,Worker fatally struck by concrete pump truck boom.,1401840,Federal,No
5/15/2019,West Valley City,UT,Worker died in fall from scaffold.,1401309,State,No
5/15/2019,White Bear Lake,MN,Worker died in fall from stack of lumber.,1403819,State,Yes
5/14/2019,Braselton,GA,Worker died when truck flipped over.,1401095,Federal,Yes
5/14/2019,Brownsville,TX,Worker preforming shipbreaking fatally burned in flash fire.,1401624,Federal,Yes
5/14/2019,Lodi,CA,Worker died from exposure to amonia vapor.,1401608,State,No
5/14/2019,Lovejoy,GA,Worker fatally struck by motor vehicle.,1401081,Federal,Yes
5/14/2019,Newport News,VA,Worker fatally struck by falling pallet.,1409378,State,Yes
5/14/2019,Philadelphia,PA,Worker died in fall from scaffold.,1397906,Federal,Yes
5/14/2019,Santa Rosa,CA,Worker died when ATV overturned.,1401311,State,No
5/13/2019,Biwabik,MN,Worker fatally crushed between garbage truck and fence post.,1401034,State,Yes
5/13/2019,Swanton,MD,Worker died in fall from dam.,1400744,State,No
5/12/2019,Hot Springs Village,AR,Worker died in fall from pressure washer tank.,1404380,Federal,Yes
5/12/2019,Warren,AR,Worker died in fall trhough roof opening.,1400777,Federal,Yes
5/11/2019,Lakeland,GA,Worker died in fall from tree.,1400031,Federal,No
5/10/2019,Buena Vista,VA,Three workers died in gas explosion.,1400176,State,No
5/10/2019,Hickory,NC,Worker died after riding mower slid into water.,1405743,State,Yes
5/10/2019,Nashville,TN,Worker died in fall through skylight.,1401674,State,Yes
5/9/2019,Casper,WY,Worker fatally struck by piece of pipe.,1399462,State,No
5/9/2019,Le Grand,CA,Worker fatally crushed by backhoe bucket.,1399849,STATE,No
5/8/2019,Chestertown,NY,Worker died in fall from roof.,1401262,Federal,Yes
5/8/2019,Hagerstown,MD,Worker died in fall from ladder.,1399302,State,No
5/8/2019,Lakeland,FL,Worker fatally crushed by roller that fell off truck trailer.,1400159,Federal,Yes
5/8/2019,Yonkers,NY,Worker died in fall from tree.,1399175,Federal,No
5/7/2019,Hyannis,MA,Worker fatally crushed by marble slab.,1399034,Federal,Yes
5/7/2019,Tickfaw,LA,Worker fatally crushed by excavator bucket.,1403038,Federal,No
5/6/2019,Ashburn,VA,Worker drowned while swimming a safety line across creek.,1398434,State,Yes
5/6/2019,Farmington,NM,Worker electrocuted when tool contacted power line.,1401600,State,Yes
5/6/2019,Sidney,MT,Worker fatally crushed between semi truck and trailer.,1399408,Federal,No
5/6/2019,Sylmar,CA,Worker fatally crushed between backhoe and concrete pad.,1401587,State,Yes
5/5/2019,Christopher,IL,Worker died from heat and smoke exposure while fighting fire.,1399073,State,No
5/5/2019,Sacramento,CA,Worker electrocuted while repairing office lighting.,1398493,State,No
5/4/2019,Bellflower,CA,Worker died in fall from wallat construction site.,1400290,State,No
5/4/2019,Houston,MO,Worker died from carbon monoxide exposure.,1398960,Federal,No
5/4/2019,Mentone,TX,Worker electrocuted by contact with breaker box.,1398621,Federal,Yes
5/3/2019,Greenville,GA,Worker fatally crushed by falling structural frame.,1398336,Federal,Yes
5/3/2019,Hallandale Beach,FL,Worker died in fall down elevator shaft.,1398409,Federal,No
5/3/2019,Valley City,OH,Worker fatally crushed between two powered industrial trucks.,1398494,Federal,Yes
5/3/2019,Warsaw,IN,Worker fatally struck by piece of rock being crushed.,1398869,State,Yes
5/2/2019,Fremont,IN,Worker fatally struck by tow motor.,1398517,State,Yes
5/2/2019,Greenwell Springs,LA,Worker fatally struck by falling tree branches.,1399778,Federal,No
5/2/2019,Plano,TX,Worker died in fall from ladder.,1398278,Federal,Yes
5/1/2019,Fairborn,OH,Work died in fall through skylight.,1397485,Federal,Yes
5/1/2019,Streeter,WV,Worker fatally struck by falling tree limb.,1397451,Federal,Yes
4/30/2019,Danville,IL,Worker fatally shot during robbery.,1399012,Federal,No
4/30/2019,Fresno,CA,Worker fatally injured in backwards fall.,1398693,State,No
4/30/2019,Guin,AL,Worker fatally struck by truck.,1397520,Federal,No
4/30/2019,Roswell,GA,Worker died in fall from tree.,1397457,Federal,Yes
4/30/2019,Yanceyville,NC,Worher fatally crushed by steel plate.,1398512,State,Yes
4/29/2019,Covington,GA,Worker died in fall from aerial lift.,1400245,Federal,Yes
4/29/2019,Daphne,AL,Worker died in fall from crane.,1397460,Federal,Yes
4/29/2019,El Centro,CA,Worker crushed by large bale of hay and clamp elevator.,1396619,State,No
4/28/2019,Cortlandt Manor,NY,Worker trimming trees electrocuted when branch contacted power line.,1396919,Federal,No
4/27/2019,Bakersfield,CA,Worker died in fall through roof panel.,1397320,State,No
4/26/2019,Chicago,IL,Worker fatally crushed between truck and tree stump.,1396423,Federal,Yes
4/26/2019,Eugene,OR,Worker died in fall down stairs.,1404109,State,No
4/26/2019,Harwood,TX,Worker fatally crushed by falling metal tubes.,1396796,Federal,Yes
4/26/2019,Stone Mountain,GA,Worker died in excavation collapse.,1396424,Federal,Yes
4/25/2019,Bethany,CT,Worker fatally crushed by collapsing building structure.,1396026,Federal,Yes
4/25/2019,Brinkley,AR,Worker fatally struck by tire being pressurized.,1396839,Federal,Yes
4/25/2019,Marietta,GA,Worker cutting tree limbs died in fall.,1395909,Federal,No
4/25/2019,Minneapolis,MN,Worker fatally struck by truck trailer.,1398166,State,Yes
4/25/2019,Ojai,CA,Worker died in fall from ladder.,1398686,State,No
4/25/2019,Portland,OR,Worker fatally struck by taxi.,1410467,State,No
4/25/2019,Senterville,KY,Worker fatally struck by rim at blew of truck tire.,1396683,State,Yes
4/25/2019,Vincennes,IN,Worker fatally crushed between two steel beams.,1401372,State,Yes
4/24/2019,Alpine,UT,Worker died in trench collapse,1395796,State,Yes
4/24/2019,Delray Beach,FL,Worker fatally struck by utility vehicle.,1395811,Federal,No
4/24/2019,Orchard Park,NY,Worker fatally burned when cutting torch ignited combustible liquid.,1396151,Federal,Yes
4/24/2019,Palm Beach,FL,Worker died in fall from scaffold.,1395524,Federal,No
4/24/2019,Pembroke Pines,FL,Worker drowned in catch basin.,1395649,Federal,Yes
4/24/2019,Springfield,MA,Worker died in fall when ladder collapsed.,1439206,Federal,No
4/23/2019,Jacksonville,TX,Worker electrocuted by junction box wiring.,1396120,Federal,Yes
4/23/2019,Morrison,CO,Worker died in fall from ladder.,1395690,Federal,No
4/23/2019,Northridge,CA,Worker died from burns after falling in tank of hot liquid.,1398128,State,No
4/23/2019,San Antonio,TX,Worker died in fall from ceiling joist.,1395786,Federal,Yes
4/23/2019,Tipton,CA,Worker fatally crushed between back hoe and skid.,1396273,State,Yes
4/22/2019,Cedar Rapids,IA,Worker died in fall from beam.,1395340,State,Yes
4/22/2019,Crosby,ND,Worker died in fall from mezzanine.,1395317,Federal,Yes
4/22/2019,Ellisville,IL,Worker fatally struck by falling tree.,1399694,Federal,Yes
4/22/2019,Iraan,TX,Worker fatally crushed between base and beam of pumping unit.,1395319,Federal,Yes
4/22/2019,Kent,OH,Worker died in fall from scaffold.,1413216,Federal,Yes
4/22/2019,Muncy,PA,Worker fatally injured after falling into mixer/grinder.,1394990,Federal,Yes
4/22/2019,Ridgeway,VA,Worker fatally struck by sheets of glass.,1395194,State,No
4/21/2019,Chula Vista,CA,Worker fatally crushed by rear wheels of truck.,1395074,State,No
4/20/2019,Austell,GA,Worker fatally crushed between two granite slabs.,1395354,Federal,Yes
4/20/2019,Pine City,MN,Worker drowned after being thrown from motor boat.,1395578,State,Yes
4/20/2019,Wichita,KS,Worker fatally injured while cleaning coffee brewer.,1394844,Federal,Yes
4/19/2019,Lyndhurst,NJ,Worker died after becoming caught in concrete blending machine.,1394552,Federal,Yes
4/19/2019,Pell City,AL,Worker fatally crushed by steel beam.,1394914,Federal,Yes
4/19/2019,Rochester,MN,Worker died in fall from roof.,1397387,State,Yes
4/18/2019,Arabi,LA,Worker fatally crushed by front tires of container handler.,1395097,Federal,No
4/18/2019,Fremont,NE,Worker died in fall from scissor lift.,1394567,Federal,No
4/18/2019,Jackson,NJ,Worker fatally injured by falling equipment.,1394142,Federal,Yes
4/18/2019,New Braunfels,TX,Worker electrocuted after contacting overhead power line.,1395151,Federal,Yes
4/18/2019,Papillion,NE,Worker fatally crushed by tractor tire.,1394438,Federal,No
4/18/2019,Romulus,NY,Worker fatally struck by train.,1395370,Federal,Yes
4/18/2019,Wilmington,CA,Worker drowned after falling from island terminal dock.,1394883,State,No
4/17/2019,Madison,WI,Worker died in fall from balcony.,1394005,Federal,No
4/17/2019,Mechanicsville,MD,Worker died in fall from roof.,1393709,State,No
4/17/2019,Pasadena,TX,Worker fatally struck by metal plate.,1394454,Federal,Yes
4/17/2019,Richmond,TX,Worker died in fall from second level of building.,1394560,Federal,No
4/17/2019,Simi Valley,CA,Worker died in vehicle collision.,1399613,State,No
4/17/2019,Starke,FL,Worker fatally struck by dump truck backing up.,1395033,Federal,Yes
4/17/2019,Washington,MO,Worker fatally struck by vehicle.,1395455,Federal,Yes
4/16/2019,Alford,FL,Worker fatally struck by falling tree limb.,1394354,Federal,Yes
4/16/2019,Miami,FL,Worker fatally struck by vehicle.,1394018,Federal,No
4/16/2019,Windsor,CO,Worker died in trench collapse.,1394112,Federal,Yes
4/15/2019,Clearwater,FL,Worker died in fall from roof.,1394054,Federal,Yes
4/15/2019,Hayden,AL,Worker fatally struck by pickup truck.,1393207,Federal,Yes
4/15/2019,Hillsborough,NC,Worker fatally struck by pickup truck.,1382337,State,Yes
4/15/2019,Houston,TX,Worker fatally struck by forklift.,1393626,Federal,Yes
4/14/2019,Greenville,MO,Worker died in fall from roof.,1393573,Federal,Yes
4/14/2019,Longmont,CO,Worker died from carbon monoxide exposure.,1397468,Federal,No
4/14/2019,San Francisco,CA,Worker died in fall from window.,1393432,State,No
4/13/2019,New York,NY,Worker fatally struck by crane counterweight.,1393050,Federal,No
4/13/2019,Salem,OR,Worker died in vehicle collision.,1410801,State,No
4/12/2019,Alva,FL,Worker died from heat exhaustion.,1393739,Federal,Yes
4/12/2019,Los Gatos,CA,Worker died in fall from ladder.,1394045,State,No
4/12/2019,Omaha,NE,Worker died in fall from roof.,1393317,Federal,Yes
4/12/2019,Plymouth,IN,Worker fatally struck by falling light pole.,1393224,State,No
4/12/2019,Prattville,AL,Worker electrocuted when tarp roller arm contacted power line.,1392967,Federal,No
4/12/2019,Spring,TX,Worker died in fall from stair landing.,1393168,Federal,Yes
4/12/2019,Union,NJ,Worker fatally struck by motor vehicle.,1394117,Federal,Yes
4/11/2019,Baton Rouge,LA,Worker fatally attacked by patient.,1394689,Federal,Yes
4/11/2019,Buhl,ID,Worker died in fall from lift.,1393054,Federal,Yes
4/11/2019,Charleston,SC,Worker died when boat capsized.,1393141,Federal,No
4/11/2019,Gastonia,NC,Worker died following amputation injury.,1392844,State,Yes
4/11/2019,Hillsboro,OR,Worker died in fall from ladder.,1394300,State,No
4/11/2019,Hillsboro,OR,Worker died in fall from ladder.,1392884,State,No
4/11/2019,Oxnard,CA,Worker fatally struck by crane spreader bar.,1393444,State,No
4/11/2019,Seminole,TX,Worker fatally struck by truck.,1392623,Federal,Yes
4/10/2019,Brooklyn,NY,Worker died in fall from roof.,1392258,Federal,Yes
4/10/2019,Durham,NC,Worker fatally injured in gas explosion.,1395206,State,Yes
4/10/2019,Durham,NC,Worker died in natural gas explosion.,1398140,State,No
4/10/2019,Hamer,ID,Worker died from carbon monoxide poisoning.,1393075,Federal,No
4/10/2019,New Plymouth,ID,Two workers died in trench collapse.,1392006,Federal,No
4/10/2019,Yabucoa,PR,Worker fatally struck by tow chain.,1392175,State,Yes
4/9/2019,Crawfordville,FL,Worker electrocuted when aerial lift contacted power line.,1392552,Federal,Yes
4/9/2019,Hartselle,AL,Worker fatally cut by circular saw.,1393048,Federal,Yes
4/9/2019,Mannford,OK,Worker drowned when front end loader fell into river.,1392614,Federal,Yes
4/8/2019,Marysville,OH,Worker died in trench collapse.,1391427,Federal,Yes
4/8/2019,Melbourne,FL,Worker fatally crushed by bulldozer.,1392142,Federal,No
4/8/2019,New York,NY,Worker fatally struck by falling coping stone.,1391509,Federal,Yes
4/8/2019,Orlando,FL,Worker fatally crushed underneath axel.,1392072,Federal,Yes
4/8/2019,Raleigh,NC,Worker fatally struck by vehicle.,1392092,State,No
4/8/2019,Saint Simons Island,GA,Worker fatally crushed between stone slabs and concrete floor.,1392574,Federal,Yes
4/6/2019,Bellbrook,OH,Worker died in trench collapse.,1391226,Federal,Yes
4/6/2019,Bethel,OH,Worker fatally crushed when roof collapsed.,1391543,Federal,No
4/6/2019,Indio,CA,Worker died in fall from stage truss.,1391722,State,No
4/6/2019,Pacific Grove,CA,Worker died from injuries after tripping and falling.,1394239,State,No
4/5/2019,Bedford Park,IL,Worker died in fall from ladder.,1391155,Federal,Yes
4/5/2019,Santa Fe,NM,Worker electrocuted while changing light fixtures.,1391330,State,Yes
4/5/2019,Scarbro,WV,Worker fatally struck by excavator boom.,1392310,Federal,Yes
4/4/2019,Bonners Ferry,ID,Worker fatally injured after becoming caught in conveyer spool.,1390649,Federal,Yes
4/4/2019,Chester,SC,Worker fatally crushed between beam and scissor lift.,1392854,State,No
4/4/2019,Fort Myers,FL,Worker fatally crushed between truck and van.,1391312,Federal,No
4/4/2019,Grand Chain,IL,Worker installing conduit died in fall.,1391080,Federal,No
4/4/2019,Houston,TX,Worker fatally struck by support bracket on pressure vessel.,1391019,Federal,Yes
4/4/2019,Taylor,PA,Worker fatally struck by truck.,1391003,Federal,Yes
4/4/2019,Toledo,OH,Worker fatally struck by falling steel beam.,1391350,Federal,Yes
4/3/2019,New Wilmington,PA,Worker fatally struck by tractor.,1390372,Federal,Yes
4/3/2019,North Charleston,SC,Worker fatally struck by lifeboat crane.,1391322,Federal,Yes
4/3/2019,Panama City,FL,Worker died in fall through skylight.,1394443,Federal,No
4/3/2019,South Euclid,OH,Worker in roadway work zone fatally struck by vehicle.,1389272,Federal,No
4/2/2019,Crosby,TX,Worker died in explosion when isobutylene vapors ignited.,1390220,Federal,No
4/2/2019,East Chicago,IN,Worker fatally struck by coal car.,1389930,State,Yes
4/2/2019,Glendale,AZ,Worer fatally crushed when forklift slid off jack.,1389868,State,Yes
4/2/2019,Lake Village,AR,Worker died in trench collapse.,1390471,Federal,Yes
4/2/2019,Louisville,KY,Worker died in fall through roof.,1391752,State,Yes
4/2/2019,Richardsville,KY,Worker fatally crushed under overturned lawn mower.,1390682,State,Yes
4/1/2019,Bethlehem,PA,Worker died from injuries caused when stage collapsed.,1389853,Federal,Yes
4/1/2019,Chester,NH,Worker died after becoming caught in flywheel of crane.,1390457,Federal,No
4/1/2019,Clackamas,OR,Worker died in propoane explosion.,1389940,State,No
4/1/2019,Grand Ronde,OR,Worker fatally struck by log.,1390297,State,No
4/1/2019,Louisville,KY,Worker died in fall from roof.,1389934,State,Yes
4/1/2019,Webster,TX,Worker fatally struck by motor vehicle.,1389879,Federal,No
3/31/2019,Gallipolis,OH,Worker died after slipping and falling on floor.,1393078,Federal,No
3/31/2019,Reedsville,WI,Worker fatally crushed against wall by charging cow.,1389860,Federal,Yes
3/29/2019,Chicago,IL,Worker died in fall from window.,1389156,Federal,Yes
3/29/2019,Pageland,SC,Worker electrocuted after contacting exposed wire.,1389581,State,No
3/28/2019,Houston,TX,Worker fatally struck when telescopic handler tipped over.,1389167,Federal,Yes
3/28/2019,Kaaawa,HI,Worker drowned when kayak capsized.,1393145,State,Yes
3/28/2019,Lawrence Township,NJ,Worker electrrocuted by machine component.,1388607,Federal,No
3/28/2019,Tesla,WV,Worker fatally struck by tree.,1388489,Federal,Yes
3/28/2019,Vidor,TX,Worker electrocuted when boom truck contacted power line.,1389906,Federal,Yes
3/28/2019,Woodburn,OR,Worker died in fall through skylight.,1406568,State,No
3/28/2019,Woodburn,OR,Worker died in fall through skylight.,1406567,State,No
3/27/2019,Elizabeth,NJ,Worker fatally injured when tripping over hand cart.,1415026,Federal,Yes
3/27/2019,Madison,TN,Worker died in fall from ladder.,1389677,State,Yes
3/27/2019,Mcminnville,OR,Worker died in fall from roof.,1406933,State,No
3/26/2019,Brentwood,NY,Worker died in fall from building mezzanine.,1388141,Federal,No
3/26/2019,Lancaster,SC,Worker died in fall from roof.,1417721,State,Yes
3/26/2019,Ocean Drive,SC,Worker electrocuted when crane cable contacted power line.,1392856,State,Yes
3/26/2019,Sacramento,CA,Worker fatally crushed by skid loader.,1388114,State,No
3/26/2019,Tuscaloosa,AL,Worker asphyxiated inside confined space.,1389105,Federal,No
3/25/2019,Drain,OR,Worker died in motor vehicle collision.,1404107,State,No
3/23/2019,Antioch,IL,Worker died from injuries after tripping on store display.,1391189,Federal,No
3/23/2019,Dallas,TX,Worker died in fall through hole in roof.,1389057,Federal,No
3/23/2019,Elmont,NY,Worker in carwash fatally struck by vehicle.,1387513,Federal,No
3/23/2019,Homestead,FL,Worker fatally crushed under mobile trailer.,1387423,Federal,Yes
3/22/2019,Columbia City,IN,Worker fatally crushed between bander machine and spool of rebar.,1388793,State,Yes
3/22/2019,Vicksburg,MS,Worker died from severe burns.,1387362,Federal,Yes
3/21/2019,Bismarck,ND,Worker died in fall from container.,1389398,Federal,Yes
3/21/2019,Nash,TX,Worker died in fall through skylight.,1387326,Federal,Yes
3/21/2019,Norcross,GA,Worker died in fall from communication tower.,1387129,Federal,No
3/21/2019,Sagola,MI,Worker fatally struck by steel beam.,1386790,State,No
3/21/2019,South Lake,TX,Worker fatally struck by pressure hose.,1387329,Federal,No
3/20/2019,Cleburne,TX,Worker fatally struck by skid steer.,1386974,Federal,Yes
3/20/2019,Harts,WV,Worker died when truck rolled over.,1387050,Federal,No
3/20/2019,High Point,NC,Worker fatally struck by dump truck.,1386833,State,Yes
3/20/2019,St Thomas,VI,Worker fatally shot by coworker.,1389123,Federal,No
3/19/2019,Dewey,OK,Worker fatally crused between platform and floor.,1386628,Federal,Yes
3/19/2019,Escalon,CA,Worker fatally pinned against car carrier.,1386561,State,No
3/19/2019,Marianna,FL,Worker died in fall from roof.,1386474,Federal,Yes
3/18/2019,Dallas,GA,Worker fatally struck by vehicle.,1389752,Federal,Yes
3/18/2019,Enon Valley,PA,Worker fatally struck by pipe.,1385843,Federal,No
3/18/2019,Hewitt,WI,Worker fatally struck by dump truck.,1386004,Federal,Yes
3/18/2019,Irondale,AL,Worker fatally struck by falling rock.,1386080,Federal,Yes
3/18/2019,Mountain Ranch,CA,Worker fatally crushed by tree.,1386290,State,Yes
3/18/2019,Salt Lake City,UT,Worker on roof electrocuted by residential power line.,1385861,State,No
3/17/2019,Homestead,FL,Worker fatally struck by truck.,1385600,Federal,Yes
3/17/2019,Tyler,TX,Worker fatally struck by storage rack.,1386385,Federal,No
3/16/2019,Boss,MO,Worker died in fall through floor opening.,1385506,Federal,Yes
3/15/2019,Cedar Falls,IA,Worker fatally struck by truck.,1385906,State,No
3/15/2019,Laredo,TX,Worker died in fall from roof.,1386062,Federal,Yes
3/15/2019,Laurel,MS,Worker fatally crushed by I beam.,1385578,Federal,Yes
3/15/2019,Woodbine,KY,Worker fatally struck by falling tree limb.,1388732,State,Yes
3/14/2019,Bluffton,SC,Worker died in fall through skylight.,1385805,State,Yes
3/14/2019,Carrollton,TX,Worker died in fall through skylight.,1387139,Federal,Yes
3/14/2019,Dalhart,TX,Worker fatally struck by tractor trailer.,1386027,Federal,Yes
3/14/2019,Fort Pierce,FL,Worker fatally struck by truck.,1386068,Federal,Yes
3/14/2019,Miami,FL,Worker died in fall from ladder.,1385927,Federal,No
3/14/2019,Oakland,CA,Worker died in fall from stairwell.,1386070,State,Yes
3/13/2019,Faber,VA,Worker died in fall from roof.,1385295,State,No
3/13/2019,Hereford,TX,Worker electrocuted when aerial lift contacted power line.,1385363,Federal,Yes
3/13/2019,Ludlow,KY,Worker electrocuted when aerial lift basket contacted power lines.,1385070,State,Yes
3/13/2019,Mobile,AL,Worker fatally struck by motor vehicle.,1384868,Federal,No
3/13/2019,Owego,NY,Worker fatally struck by tractor trailer.,1398717,State,No
3/12/2019,Fort Worth,TX,Worker fatally struck by equipment that fell from crane.,1384573,Federal,Yes
3/12/2019,Melbourne,FL,Worker died in fall from roof.,1384743,Federal,Yes
3/12/2019,Orlando,FL,Worker died in fall from aerial lift.,1384750,Federal,Yes
3/12/2019,Soldotna,AK,Worker died in fall from sump tank.,1384754,State,No
3/12/2019,Union,NJ,Worker died in fall from building.,1384480,Federal,Yes
3/11/2019,Alloy,WV,Worker fatally struck by truck.,1384329,Federal,No
3/10/2019,Fairfield,OH,Worker died in fall from fuel truck.,1387115,Federal,No
3/10/2019,Williston,ND,Worker fatally injured by exposure to hydrochloric acid.,1427306,Federal,No
3/9/2019,Cantonment,FL,Worker fatally struck and crushed by bulldozer.,1385366,Federal,No
3/9/2019,Green Lane,PA,Worker fatally struck by truck.,1384296,Federal,No
3/9/2019,West Point,GA,Worker fatally crushed inside machine.,1384550,Federal,Yes
3/8/2019,Clarkston,MI,Worker fatally struck by overhead crane.,1383857,State,No
3/7/2019,Empire,CO,Worker died in avalanche.,1384370,Federal,No
3/7/2019,Griffin,GA,Worker electrocuted when contacting high voltage power line.,1384162,Federal,Yes
3/6/2019,Afton,VA,Worker fatally struck by falling tree.,1383148,State,No
